,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1_x,ins,strk1_y,close
4918,70020,OPTIDX,BANKNIFTY,20221117,42600.00,CE,IO CE BANKNIFTY 17Nov22 42600.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,46838,OPTIDX,42600.0,OPTIDX,42600.0,0.0
4919,70020,OPTIDX,BANKNIFTY,20221117,42700.00,CE,IO CE BANKNIFTY 17Nov22 42700.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,35008,OPTIDX,42700.0,OPTIDX,42700.0,0.0
4920,70020,OPTIDX,BANKNIFTY,20221117,42800.00,CE,IO CE BANKNIFTY 17Nov22 42800.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,35010,OPTIDX,42800.0,OPTIDX,42800.0,0.0
4921,70020,OPTIDX,BANKNIFTY,20221117,42900.00,CE,IO CE BANKNIFTY 17Nov22 42900.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,35041,OPTIDX,42900.0,OPTIDX,42900.0,0.0
4922,70020,OPTIDX,BANKNIFTY,20221117,43000.00,CE,IO CE BANKNIFTY 17Nov22 43000.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,46844,OPTIDX,43000.0,OPTIDX,43000.0,0.0
4923,70020,OPTIDX,BANKNIFTY,20221117,43100.00,CE,IO CE BANKNIFTY 17Nov22 43100.0000,4000,42579.9,170319600,0.0,0.0,0.0,0.0,35070,OPTIDX,43100.0,OPTIDX,43100.0,0.0
4924,70020,OPTIDX,BANKNIFTY,20221117,44000.00,CE,IO CE BANKNIFTY 17Nov22 44000.0000,2000,42579.9,85159800,0.0,0.0,0.0,0.0,46854,OPTIDX,44000.0,OPTIDX,44000.0,0.0
4925,70020,OPTIDX,BANKNIFTY,20221124,42500.00,CE,IO CE BANKNIFTY 24Nov22 42500.0000,-500,42579.9,21289950,425799.0,0.0,425799.0,2.0,60784,OPTIDX,42500.0,OPTIDX,42500.0,547.7
4926,70020,OPTIDX,BANKNIFTY,20221124,43000.00,CE,IO CE BANKNIFTY 24Nov22 43000.0000,-1000,42579.9,42579900,851598.0,0.0,851598.0,2.0,60814,OPTIDX,43000.0,OPTIDX,43000.0,430.35
4927,70020,OPTIDX,BANKNIFTY,20221117,41500.00,PE,IO PE BANKNIFTY 17Nov22 41500.0000,-850,42579.9,36192915,723858.3,4978877.0,5702735.3,15.76,46795,OPTIDX,41500.0,OPTIDX,41500.0,0.0
4928,70020,OPTIDX,BANKNIFTY,20221117,41700.00,PE,IO PE BANKNIFTY 17Nov22 41700.0000,4000,42579.9,170319600,0.0,0.0,0.0,0.0,46808,OPTIDX,41700.0,OPTIDX,41700.0,0.0
4929,70020,OPTIDX,BANKNIFTY,20221117,41800.00,PE,IO PE BANKNIFTY 17Nov22 41800.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,46814,OPTIDX,41800.0,OPTIDX,41800.0,0.0
4930,70020,OPTIDX,BANKNIFTY,20221117,41900.00,PE,IO PE BANKNIFTY 17Nov22 41900.0000,-200,42579.9,8515980,170319.6,0.0,170319.6,2.0,46816,OPTIDX,41900.0,OPTIDX,41900.0,0.0
