,CLIENT_ID,ins_x,symbol,exp,strk,opt,StockName,NetQty,ClPrice,ClAmt,Exposure_Mrg,Span_Mrg,Total_Margin,%_Margin,Token,ins_y,strk1,close
1182,30531,OPTSTK,BIOCON,20230125,240.00,PE,EO PE BIOCON 25Jan23 240.0000,-11500,252.4,2902600,101591.0,0.0,101591.0,3.5,81265,OPTSTK,240.0,1.55
1183,30531,OPTSTK,BIOCON,20230125,250.00,PE,EO PE BIOCON 25Jan23 250.0000,11500,252.4,2902600,0.0,0.0,0.0,0.0,81273,OPTSTK,250.0,4.45
1184,30531,OPTSTK,EXIDEIND,20230125,190.00,CE,EO CE EXIDEIND 25Jan23 190.0000,7200,183.9,1324080,0.0,0.0,0.0,0.0,90901,OPTSTK,190.0,1.7
1185,30531,FUTSTK,IBULHSGFIN,20230125, , ,EF IBULHSGFIN 25Jan23,16000,140.7,2251200,236376.0,542880.0,779256.0,34.62,48191,FUTSTK,0.0,140.7
1186,30531,OPTSTK,IBULHSGFIN,20230125,150.00,CE,EO CE IBULHSGFIN 25Jan23 150.0000,-36000,140.7,5065200,531846.0,0.0,531846.0,10.5,107291,OPTSTK,150.0,2.15
1187,30531,OPTSTK,IBULHSGFIN,20230125,130.00,PE,EO PE IBULHSGFIN 25Jan23 130.0000,-16000,140.7,2251200,236376.0,0.0,236376.0,10.5,107276,OPTSTK,130.0,2.0
1188,30531,OPTSTK,IBULHSGFIN,20230125,140.00,PE,EO PE IBULHSGFIN 25Jan23 140.0000,16000,140.7,2251200,0.0,0.0,0.0,0.0,107284,OPTSTK,140.0,5.2
1189,30531,FUTSTK,IDFCFIRSTB,20230125, , ,EF IDFCFIRSTB 25Jan23,60000,60.1,3606000,126210.0,1095300.0,1221510.0,33.87,48213,FUTSTK,0.0,60.1
1190,30531,OPTSTK,IDFCFIRSTB,20230125,60.00,CE,EO CE IDFCFIRSTB 25Jan23 60.0000,-90000,60.1,5409000,189315.0,0.0,189315.0,3.5,114731,OPTSTK,60.0,1.9
1191,30531,OPTSTK,IDFCFIRSTB,20230125,65.00,CE,EO CE IDFCFIRSTB 25Jan23 65.0000,-90000,60.1,5409000,189315.0,0.0,189315.0,3.5,114741,OPTSTK,65.0,0.5
1192,30531,OPTSTK,IDFCFIRSTB,20230125,55.00,PE,EO PE IDFCFIRSTB 25Jan23 55.0000,60000,60.1,3606000,0.0,0.0,0.0,0.0,114678,OPTSTK,55.0,0.35
1193,30531,OPTSTK,JUBLFOOD,20230125,520.00,CE,EO CE JUBLFOOD 25Jan23 520.0000,2500,493.75,1234375,0.0,0.0,0.0,0.0,118770,OPTSTK,520.0,4.05
1194,30531,OPTSTK,JUBLFOOD,20230125,540.00,CE,EO CE JUBLFOOD 25Jan23 540.0000,-2500,493.75,1234375,43203.13,0.0,43203.13,3.5,118774,OPTSTK,540.0,1.8
1195,30531,FUTSTK,MARUTI,20230125, , ,EF MARUTI 25Jan23,500,8318.1,4159050,145566.75,923485.0,1069051.75,25.7,50349,FUTSTK,0.0,8318.1
1196,30531,OPTSTK,MARUTI,20230125,8700.00,CE,EO CE MARUTI 25Jan23 8700.0000,-1900,8318.1,15804390,553153.65,0.0,553153.65,3.5,121973,OPTSTK,8700.0,31.25
