TerminalID,client_code,User_ID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
400064001710112, ,80117, , , , , , ,
400064001710012, ,80117, , , , , , ,
395003001714112, ,30531, , , , , , ,
395003001714012, ,30531, , , , , , ,
395009001716112, ,20001, , , , , , ,
395009001716012, ,20001, , , , , , ,
395009001717112, ,20002, , , , , , ,
395009001717012, ,20002, , , , , , ,
395009001715012, ,20003, , , , , , ,
395001001418110, ,40312, , , , , , ,
395009001718112, ,20004, , , , , , ,
395009001718012, ,20004, , , , , , ,
YASH1, ,40177H, , , , , , ,
395001001453110, ,40320, , , , , , ,
400064001902110, ,80039, , , , , , ,
395003001452110, ,60038, , , , , , ,
395001001454110, ,80131, , , , , , ,
400086001040110, ,80134, , , , , , ,
395001001464110, ,40011, , , , , , ,
400064051001110, ,85001, , , , , , ,
395001001464110, ,40011, , , , , , ,
400064051002110, ,85002, , , , , , ,
395001001464110, ,40011, , , , , , ,
400064051003110, ,85003, , , , , , ,
400064051004110, ,85004, , , , , , ,
400064051005110, ,85005, , , , , , ,
395001001464110, ,40011, , , , , , ,
400064051006110, ,85006, , , , , , ,
400064051007110, ,85007, , , , , , ,
395001001464110, ,40011, , , , , , ,
400086001035110, ,80135, , , , , , ,
400086001036110, ,95003, , , , , , ,
400086001038110, ,95004, , , , , , ,
400086001021110, ,80136, , , , , , ,
400086001704012, ,95001, , , , , , ,
400086001704112, ,95001, , , , , , ,
395001001302110, ,50513, , , , , , ,
395001001469110, ,70034, , , , , , ,
380009001466110, ,40416, , , , , , ,
400086001034110, ,95005, , , , , , ,
400086001039110, ,95006, , , , , , ,
400086001037110, ,95007, , , , , , ,
31316, ,30006, , , , , , ,
44114, ,80098, , , , , , ,
400064051008110, ,85008, , , , , , ,
34085, ,80001, , , , , , ,
400064051009110, ,85009, , , , , , ,
395001001484110, ,70035, , , , , , ,
395009001719012, ,20005, , , , , , ,
395009001719112, ,20005, , , , , , ,
395001001462110, ,40321, , , , , , ,
400064001501112, ,80017, , , , , , ,
395001001125110, ,70039, , , , , , ,
34733, ,80022, , , , , , ,
37773, ,30004, , , , , , ,
400086001501110, ,95002, , , , , , ,
400086001504110, ,95003, , , , , , ,
400086001506110, ,95004, , , , , , ,
400086001502110, ,95005, , , , , , ,
400086001507110, ,95006, , , , , , ,
400086001505110, ,95007, , , , , , ,
400086001508110, ,80134, , , , , , ,
400086001503110, ,80135, , , , , , ,
395001001444110, ,30004, , , , , , ,
46219, ,30005, , , , , , ,
395009001720112, ,20006, , , , , , ,
400064051010110, ,85010, , , , , , ,
400064051012110, ,85012, , , , , , ,
400086001017110, ,80139, , , , , , ,
400064051013110, ,85013, , , , , , ,
395001001491110, ,40419, , , , , , ,
395003001499110, ,60039, , , , , , ,
400604001509110, ,95009, , , , , , ,
400604001510110, ,95010, , , , , , ,
400604001511110, ,95011, , , , , , ,
400604001512110, ,95012, , , , , , ,
395001001111110, ,50130, , , , , , ,
395001001303110, ,50514, , , , , , ,
395003001130110, ,30530, , , , , , ,
395003001131110, ,30532, , , , , , ,
44292, ,80137, , , , , , ,
382355001012110, ,70037, , , , , , ,
395001052001110, ,30004, , , , , , ,
395001052002110, ,30006, , , , , , ,
395001001463110, ,80140, , , , , , ,
400064001502012, ,80015, , , , , , ,
400064001502112, ,80015, , , , , , ,
400064001496110, ,80138, , , , , , ,
395003001712112, ,30533, , , , , , ,
395003001712012, ,30533, , , , , , ,
400604001501110, ,95002, , , , , , ,
400604001502110, ,95005, , , , , , ,
400604001503110, ,80135, , , , , , ,
400604001504110, ,95003, , , , , , ,
400604001505110, ,95007, , , , , , ,
400604001506110, ,95004, , , , , , ,
400604001507110, ,95006, , , , , , ,
400604001508110, ,80134, , , , , , ,
400064001463110, ,80140, , , , , , ,
400064001503012, ,80001, , , , , , ,
400064001503112, ,80001, , , , , , ,
400064001505012, ,80132, , , , , , ,
400064001505112, ,80132, , , , , , ,
395001001504110, ,70038, , , , , , ,
395003001124110, ,40263, , , , , , ,
395003001477110, ,60041, , , , , , ,
395001001319110, ,50515, , , , , , ,
395003001124110, ,40263, , , , , , ,
395001001493110, ,70040, , , , , , ,
YASH12, ,40177J, , , , , , ,
395001001722012, ,70041, , , , , , ,
395001001722112, ,70041, , , , , , ,
400064051015110, ,85015, , , , , , ,
400064001507012, ,80065, , , , , , ,
400064001507112, ,80065, , , , , , ,
YASH13, ,40177L, , , , , , ,
400064001507110, ,80005, , , , , , ,
400064001508110, ,80007, , , , , , ,
400064001711012, ,80008, , , , , , ,
400064001711112, ,80008, , , , , , ,
395003001451110, ,60042, , , , , , ,
395003001502110, ,60043, , , , , , ,
400064051017110, ,85017, , , , , , ,
400064051019110, ,85019, , , , , , ,
395001001503110, ,70029, , , , , , ,
400064001705012, ,80022, , , , , , ,
400064001705112, ,80022, , , , , , ,
395001001107110, ,50131, , , , , , ,
400064051016110, ,85016, , , , , , ,
395003001132110, ,30534, , , , , , ,
395001001509110, ,70043, , , , , , ,
395001052006110, ,30008, , , , , , ,
400064001512110, ,80011, , , , , , ,
400064001511110, ,80014, , , , , , ,
400064001510110, ,80016, , , , , , ,
400064001869122, ,80018, , , , , , ,
YASH5, ,40177S, , , , , , ,
YASH9, ,40177U, , , , , , ,
YASH10, ,40177V, , , , , , ,
YASH14, ,40177W, , , , , , ,
YASH15, ,40177X, , , , , , ,
YASH16, ,40177Y, , , , , , ,
YASH17, ,40177Z, , , , , , ,
YASH18, ,40177AA, , , , , , ,
