TerminalID,client_code,UserID,T_code,T_alias,Branch,GRP,active,NeatID,Name
ASC003, ,ASC001, , , , , , ,
3.95003E+14, ,60028, , , , , , ,
3.95001E+14, ,50120, , , , , , ,
3.95003E+14, ,60029, , , , , , ,
3.95003E+14, ,60030, , , , , , ,
3.95001E+14, ,50504, , , , , , ,
ASC516, ,40132A, , , , , , ,
ASC516, ,40369, , , , , , ,
4.00064E+14, ,80053, , , , , , ,
4.00064E+14, ,80059, , , , , , ,
3.95001E+14, ,40110, , , , , , ,
4.00064E+14, ,50006A, , , , , , ,
4.00064E+14, ,40284, , , , , , ,
4.00064E+14, ,40184, , , , , , ,
4.00093E+14, ,80096, , , , , , ,
4.00093E+14, ,70010, , , , , , ,
4.00086E+14, ,40130, , , , , , ,
4.00086E+14, ,40369, , , , , , ,
4.00086E+14, ,40134, , , , , , ,
3.95001E+14, ,50117, , , , , , ,
3.95001E+14, ,50052, , , , , , ,
3.95003E+14, ,60011, , , , , , ,
3.95001E+14, ,70018, , , , , , ,
3.95001E+14, ,50505, , , , , , ,
3.95001E+14, ,70011, , , , , , ,
43825, ,80105, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
4.00093E+14, ,80020, , , , , , ,
3.96445E+14, ,40177, , , , , , ,
3.95001E+14, ,50503, , , , , , ,
3.95001E+14, ,50109, , , , , , ,
3.95001E+14, ,50502, , , , , , ,
4.00001E+14, ,40241, , , , , , ,
3.95001E+14, ,40254A, , , , , , ,
4.00093E+14, ,70014, , , , , , ,
3.95001E+14, ,40379, , , , , , ,
4.00064E+14, ,80064, , , , , , ,
4.00086E+14, ,80076, , , , , , ,
3.95001E+14, ,50110, , , , , , ,
3.95001E+14, ,50122, , , , , , ,
3.95001E+14, ,40384, , , , , , ,
3.95001E+14, ,40087, , , , , , ,
3.95001E+14, ,40110, , , , , , ,
4.00093E+14, ,70010, , , , , , ,
3.95001E+14, ,50123, , , , , , ,
4.00086E+14, ,80056, , , , , , ,
4.00086E+14, ,80024, , , , , , ,
3.60001E+14, ,40177, , , , , , ,
4.00086E+14, ,80087, , , , , , ,
3.95001E+14, ,70020, , , , , , ,
3.95001E+14, ,70020, , , , , , ,
3.95001E+14, ,70021, , , , , , ,
3.95001E+14, ,50126, , , , , , ,
3.95001E+14, ,40384, , , , , , ,
3.60001E+14, ,40308, , , , , , ,
3.95003E+14, ,60032, , , , , , ,
3.95001E+14, ,50506, , , , , , ,
4.00092E+14, ,40241, , , , , , ,
4.00086E+14, ,40390, , , , , , ,
4.00064E+14, ,80121, , , , , , ,
4.00086E+14, ,80031, , , , , , ,
3.95001E+14, ,40300, , , , , , ,
4.00064E+14, ,80130, , , , , , ,
3.95001E+14, ,40371, , , , , , ,
3.95003E+14, ,60033, , , , , , ,
3.95001E+14, ,ASC049, , , , , , ,
, , , , , , , , ,
, , , , , , , , ,
, , , , , , , , ,
3.95001E+14, ,70024, , , , , , ,
3.95001E+14, ,40184, , , , , , ,
3.95003E+14, ,60034, , , , , , ,
3.95001E+14, ,50127, , , , , , ,
3.95001E+14, ,40184, , , , , , ,
3.95001E+14, ,40227, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
3.96445E+14, ,40177, , , , , , ,
3.96445E+14, ,40177C, , , , , , ,
3.95001E+14, ,50507, , , , , , ,
4.00064E+14, ,80111, , , , , , ,
4.00086E+14, ,80031, , , , , , ,
4.00086E+14, ,80096, , , , , , ,
3.95003E+14, ,60035, , , , , , ,
4.00064E+14, ,50031, , , , , , ,
4.00064E+14, ,80115, , , , , , ,
3.95003E+14, ,60036, , , , , , ,
3.95001E+14, ,50010, , , , , , ,
3.95001E+14, ,50030, , , , , , ,
4.00086E+14, ,80072, , , , , , ,
3.95001E+14, ,50508, , , , , , ,
3.95003E+14, ,30501, , , , , , ,
3.95003E+14, ,30502, , , , , , ,
3.95003E+14, ,30503, , , , , , ,
4.00064E+14, ,80017, , , , , , ,
3.95009E+14, ,90500, , , , , , ,
3.95001E+14, ,70026, , , , , , ,
4.00086E+14, ,80092, , , , , , ,
4.00093E+14, ,40312, , , , , , ,
3.95003E+14, ,30504, , , , , , ,
3.95003E+14, ,30505, , , , , , ,
4.00093E+14, ,40276, , , , , , ,
3.95001E+14, ,70028, , , , , , ,
3.95001E+14, ,50509, , , , , , ,
3.95001E+14, ,50511, , , , , , ,
3.95001E+14, ,50510, , , , , , ,
3.96445E+14, ,40177F, , , , , , ,
3.95003E+14, ,30506, , , , , , ,
3.95003E+14, ,30507, , , , , , ,
3.95003E+14, ,30508, , , , , , ,
3.95003E+14, ,30509, , , , , , ,
3.95003E+14, ,30510, , , , , , ,
3.95003E+14, ,30511, , , , , , ,
3.95001E+14, ,40177R, , , , , , ,
YASH4, ,40177G, , , , , , ,
YASH2, ,40177P, , , , , , ,
YASH3, ,40177I, , , , , , ,
YASH6, ,40177K, , , , , , ,
YASH7, ,40177T, , , , , , ,
YASH8, ,40177N, , , , , , ,
YASH11, ,40177O, , , , , , ,
ASS804, ,40177Q, , , , , , ,
3.95001E+14, ,70027, , , , , , ,
4.00064E+14, ,80034, , , , , , ,
4.00064E+14, ,80034, , , , , , ,
3.95003E+14, ,30512, , , , , , ,
3.95001E+14, ,70011, , , , , , ,
4.00064E+14, ,50031, , , , , , ,
4.00064E+14, ,50031, , , , , , ,
4.00064E+14, ,50031, , , , , , ,
4.00064E+14, ,50004, , , , , , ,
4.00064E+14, ,50005, , , , , , ,
4.00064E+14, ,50003, , , , , , ,
3.95003E+14, ,30513, , , , , , ,
3.95003E+14, ,30514, , , , , , ,
4.00064E+14, ,ASC049, , , , , , ,
3.95003E+14, ,30515, , , , , , ,
3.95003E+14, ,30516, , , , , , ,
45628, ,75001, , , , , , ,
45629, ,75002, , , , , , ,
3.95001E+14, ,75003, , , , , , ,
38570, ,80049, , , , , , ,
34650, ,80013, , , , , , ,
3.95003E+14, ,30517, , , , , , ,
3.95001E+14, ,50128, , , , , , ,
3.95001E+14, ,75003, , , , , , ,
3.95001E+14, ,40405, , , , , , ,
3.95001E+14, ,50512, , , , , , ,
3.95001E+14, ,40360, , , , , , ,
3.95001E+14, ,75005, , , , , , ,
3.95001E+14, ,70030, , , , , , ,
3.95003E+14, ,30518, , , , , , ,
3.95001E+14, ,75006, , , , , , ,
3.95003E+14, ,30519, , , , , , ,
3.95003E+14, ,30520, , , , , , ,
3.95003E+14, ,30521, , , , , , ,
3.95003E+14, ,30522, , , , , , ,
3.95003E+14, ,30523, , , , , , ,
3.95003E+14, ,30525, , , , , , ,
3.95003E+14, ,30526, , , , , , ,
3.95003E+14, ,30527, , , , , , ,
3.95003E+14, ,30528, , , , , , ,
