ClientCode,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,FUT_MTM,OPT_MTM,NET_PREM,Prem_Margin,
A1616,NSEFO,110400,OPTSTK,BANDHANBNK,20221229,210.0,PE,0,0.0,5.0,0.0,94,3600,-18000.0,3600,-18000.0,0.0,0.0,18000.0,0.0,
A1616,NSEFO,50012,OPTIDX,NIFTY,20221201,17900.0,PE,0,0.0,4.95,0.0,95,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A1676,NSEFO,50652,OPTIDX,BANKNIFTY,20221201,43300.0,CE,0,0.0,151.3,0.0,96,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A1676,NSEFO,50664,OPTIDX,BANKNIFTY,20221201,43600.0,CE,0,0.0,72.2,0.0,97,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A1676,NSEFO,50601,OPTIDX,BANKNIFTY,20221201,42800.0,PE,0,5106.25,134.25,0.0,98,0,0.0,0,5106.25,0.0,0.0,-5106.25,5106.25,
A1676,NSEFO,50621,OPTIDX,BANKNIFTY,20221201,43100.0,CE,0,24273.75,234.55,0.0,99,0,0.0,0,24273.75,0.0,0.0,-24273.75,24273.75,
A1676,NSEFO,50614,OPTIDX,BANKNIFTY,20221201,43000.0,CE,0,-6028.75,286.75,0.0,100,0,0.0,0,-6028.75,0.0,0.0,6028.75,-6028.75,
A1676,NSEFO,50591,OPTIDX,BANKNIFTY,20221201,42600.0,PE,0,0.0,85.6,0.0,101,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A1676,NSEFO,50055,OPTIDX,NIFTY,20221201,18500.0,PE,50,-210.0,77.9,0.0,102,-50,3895.0000000000005,0,3685.0,0.0,0.0,-3685.0,-210.0,
A1676,NSEFO,50047,OPTIDX,NIFTY,20221201,18400.0,PE,-400,20442.5,45.4,0.0,103,400,-18160.0,0,2282.5,0.0,0.0,-2282.5,20442.5,
12454,NSEFO,62940,FUTSTK,ADANIENT,20221229,0.0, ,0,0.0,3931.2,0.0,104,250,-982800.0,250,-982800.0,0.0,0.0,0.0,0.0,
12454,NSEFO,68802,FUTSTK,VEDL,20221229,0.0, ,0,0.0,318.95,0.0,105,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
19186,NSEFO,62940,FUTSTK,ADANIENT,20221229,0.0, ,0,0.0,3931.2,0.0,106,500,-1965600.0,500,-1965600.0,0.0,0.0,0.0,0.0,
19478,NSEFO,63869,FUTSTK,AUROPHARMA,20221229,0.0, ,0,0.0,468.7,0.0,107,1000,-468700.0,1000,-468700.0,0.0,0.0,0.0,0.0,
19644,NSEFO,62940,FUTSTK,ADANIENT,20221229,0.0, ,0,0.0,3931.2,0.0,108,250,-982800.0,250,-982800.0,0.0,0.0,0.0,0.0,
A0017,NSEFO,63858,FUTSTK,ASHOKLEY,20221229,0.0, ,0,0.0,149.95,0.0,109,10000,-1499500.0,10000,-1499500.0,0.0,0.0,0.0,0.0,
A0019,NSEFO,131794,OPTSTK,IBULHSGFIN,20221229,120.0,PE,0,0.0,1.4,0.0,110,-4000,5600.0,-4000,5600.0,0.0,0.0,-5600.0,0.0,
A0020,NSEFO,63890,FUTSTK,BPCL,20221229,0.0, ,0,-16290.0,327.2,0.0,111,5400,-1766880.0,5400,-1783170.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,64024,FUTSTK,IDEA,20221229,0.0, ,0,0.0,8.2,0.0,112,1120000,-9184000.0,1120000,-9184000.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,68626,FUTSTK,JINDALSTEL,20221229,0.0, ,0,0.0,526.0,0.0,113,18750,-9862500.0,18750,-9862500.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,68664,FUTSTK,MARUTI,20221229,0.0, ,0,0.0,9105.65,0.0,114,400,-3642260.0,400,-3642260.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,68751,FUTSTK,RECLTD,20221229,0.0, ,0,0.0,110.2,0.0,115,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,68694,FUTSTK,MCDOWELL-N,20221229,0.0, ,0,0.0,895.9,0.0,116,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,62808,FUTIDX,BANKNIFTY,20221229,0.0, ,0,5810.0,43291.85,0.0,117,0,0.0,0,5810.0,0.0,0.0,0.0,0.0,
A0020,NSEFO,62809,FUTIDX,NIFTY,20221229,0.0, ,0,122.50000000011642,18646.1,0.0,118,4700,-87636670.0,4700,-87636547.5,0.0,0.0,0.0,0.0,
A0020,NSEFO,50663,OPTIDX,BANKNIFTY,20221201,43500.0,PE,0,0.0,514.25,0.0,119,-200,102850.0,-200,102850.0,0.0,0.0,-102850.0,0.0,
A0020,NSEFO,50656,OPTIDX,BANKNIFTY,20221201,43400.0,CE,-100,-28700.0,118.6,0.0,120,-500,59300.0,-600,30600.0,0.0,0.0,-30600.0,-28700.0,
A0020,NSEFO,53909,OPTIDX,FINNIFTY,20221129,19250.0,CE,-600,11672.0,59.15,0.0,121,-600,35490.0,-1200,47162.0,0.0,0.0,-47162.0,11672.0,
A0020,NSEFO,53908,OPTIDX,FINNIFTY,20221129,19150.0,PE,-600,15600.0,35.0,0.0,122,-600,21000.0,-1200,36600.0,0.0,0.0,-36600.0,15600.0,
A0020,NSEFO,39835,OPTIDX,FINNIFTY,20221129,19200.0,CE,0,0.0,84.75,0.0,123,-600,50850.0,-600,50850.0,0.0,0.0,-50850.0,0.0,
A0020,NSEFO,49994,OPTIDX,NIFTY,20221201,17700.0,PE,-1500,3900.0,3.1,0.0,124,1500,-4650.0,0,-750.0,0.0,0.0,750.0,3900.0,
A0020,NSEFO,50036,OPTIDX,NIFTY,20221201,18150.0,PE,2400,-18630.0,11.7,0.0,125,-2400,28080.0,0,9450.0,0.0,0.0,-9450.0,-18630.0,
A0034,NSEFO,68640,FUTSTK,L&TFH,20221229,0.0, ,0,0.0,87.75,0.0,126,26772,-2349243.0,26772,-2349243.0,0.0,0.0,0.0,0.0,
A0034,NSEFO,39954,OPTIDX,NIFTY,20221229,19000.0,CE,0,0.0,100.35,0.0,127,750,-75262.5,750,-75262.5,0.0,0.0,75262.5,0.0,
A0042,NSEFO,63883,FUTSTK,BHARATFORG,20221229,0.0, ,0,0.0,855.25,0.0,128,7000,-5986750.0,7000,-5986750.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,63955,FUTSTK,EICHERMOT,20221229,0.0, ,0,0.0,3435.5,0.0,129,1400,-4809700.0,1400,-4809700.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,68779,FUTSTK,TCS,20221229,0.0, ,-750,2573250,3417.3,0.0,130,900,-3075570.0,150,-502320.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,68802,FUTSTK,VEDL,20221229,0.0, ,0,-155.0000000000582,318.95,0.0,131,3100,-988745.0,3100,-988900.0,0.0,0.0,0.0,0.0,
A0042,NSEFO,105754,OPTSTK,BAJAJ-AUTO,20221229,3700.0,PE,0,0.0,89.3,0.0,132,-500,44650.0,-500,44650.0,0.0,0.0,-44650.0,0.0,
A0042,NSEFO,111434,OPTSTK,BHARATFORG,20221229,800.0,PE,3000,-18750.0,7.6,0.0,133,-3000,22800.0,0,4050.0,0.0,0.0,-4050.0,-18750.0,
A0042,NSEFO,110584,OPTSTK,BANKBARODA,20221229,165.0,PE,0,0.0,4.5,0.0,134,-5850,26325.0,-5850,26325.0,0.0,0.0,-26325.0,0.0,
A0042,NSEFO,129789,OPTSTK,HAL,20221229,2500.0,PE,0,0.0,18.75,0.0,135,0,0.0,0,0.0,0.0,0.0,-0.0,0.0,
A0042,NSEFO,132079,OPTSTK,ICICIBANK,20221229,900.0,PE,0,0.0,7.4,0.0,136,-1375,10175.0,-1375,10175.0,0.0,0.0,-10175.0,0.0,
A0042,NSEFO,134473,OPTSTK,ITC,20221229,340.0,PE,0,0.0,5.5,0.0,137,-9600,52800.0,-9600,52800.0,0.0,0.0,-52800.0,0.0,
