UserID,Exchange,Token,instrument,symbol,expiry,strike,c/p,dayQty,dayValue,LTP,MTM,SerialNO,OpenQty,OpenAmt,netQty,NetValue,PrevDExpo_Mrg,PrevDSpan_Mrg,Total_Margin,Net_Prem,FUT_MTM,OPT_MTM,PRM_MRG,
14275,NSEFO,50541,OPTIDX,BANKNIFTY,20221201,41900.00,PE,0,0.0,0,0,85,3000,-66900.0,3000,-66900.0,0.0,0.0,0.0,-66900.0,0.0,0.0,0.0,
14275,NSEFO,50563,OPTIDX,BANKNIFTY,20221201,42000.00,PE,0,-652.5,0,0,86,13000,-343200.0,13000,-343852.5,0.0,0.0,0.0,-342547.5,0.0,0.0,-652.5,
14275,NSEFO,50577,OPTIDX,BANKNIFTY,20221201,42200.00,PE,0,0.0,0,0,87,3200,-117759.99999999999,3200,-117759.99999999999,0.0,0.0,0.0,-117759.99999999999,0.0,0.0,0.0,
14275,NSEFO,50586,OPTIDX,BANKNIFTY,20221201,42400.00,PE,0,3678.75,0,0,88,200,-10990.0,200,-7311.25,0.0,0.0,0.0,-14668.75,0.0,0.0,3678.75,
14275,NSEFO,50589,OPTIDX,BANKNIFTY,20221201,42500.00,PE,0,11550.0,0,0,89,4225,-288567.5,4225,-277017.5,0.0,0.0,0.0,-300117.5,0.0,0.0,11550.0,
14275,NSEFO,50591,OPTIDX,BANKNIFTY,20221201,42600.00,PE,0,19908.75,0,0,90,3700,-316720.0,3700,-296811.25,0.0,0.0,0.0,-336628.75,0.0,0.0,19908.75,
14275,NSEFO,50593,OPTIDX,BANKNIFTY,20221201,42700.00,PE,0,20932.5,0,0,91,800,-85560.0,800,-64627.5,0.0,0.0,0.0,-106492.5,0.0,0.0,20932.5,
14275,NSEFO,50601,OPTIDX,BANKNIFTY,20221201,42800.00,PE,0,50291.25,0,0,92,-850,114112.5,-850,164403.75,744583.0,0.0,744583.0,63821.25,0.0,0.0,50291.25,
14275,NSEFO,50613,OPTIDX,BANKNIFTY,20221201,42900.00,PE,0,-2517.5,0,0,93,-1400,234290.0,-1400,231772.5,1226372,0.0,1226372,236807.5,0.0,0.0,-2517.5,
14275,NSEFO,50620,OPTIDX,BANKNIFTY,20221201,43000.00,PE,0,-15242.5,0,0,94,1500,-309825.0,1500,-325067.5,0.0,0.0,0.0,-294582.5,0.0,0.0,-15242.5,
14275,NSEFO,50633,OPTIDX,BANKNIFTY,20221201,43100.00,PE,0,-15271.25,0,0,95,-3500,884975.0,-3500,869703.75,3065930,0.0,3065930,900246.25,0.0,0.0,-15271.25,
14275,NSEFO,50646,OPTIDX,BANKNIFTY,20221201,43200.00,PE,0,-1423.75,0,0,96,100,-30914.999999999996,100,-32338.749999999996,0.0,0.0,0.0,-29491.25,0.0,0.0,-1423.75,
14275,NSEFO,50655,OPTIDX,BANKNIFTY,20221201,43300.00,PE,0,0.0,0,0,97,100,-37145.0,100,-37145.0,0.0,0.0,0.0,-37145.0,0.0,0.0,0.0,
14275,NSEFO,50657,OPTIDX,BANKNIFTY,20221201,43400.00,PE,0,0.0,0,0,98,100,-43885.0,100,-43885.0,0.0,0.0,0.0,-43885.0,0.0,0.0,0.0,
14275,NSEFO,50663,OPTIDX,BANKNIFTY,20221201,43500.00,PE,0,0.0,0,0,99,100,-51425.0,100,-51425.0,0.0,0.0,0.0,-51425.0,0.0,0.0,0.0,
14275,NSEFO,50670,OPTIDX,BANKNIFTY,20221201,43600.00,PE,0,0.0,0,0,100,100,-58945.00000000001,100,-58945.00000000001,0.0,0.0,0.0,-58945.00000000001,0.0,0.0,0.0,
14275,NSEFO,58419,OPTIDX,BANKNIFTY,20221229,40500.00,PE,0,0.0,0,0,101,350,-27177.500000000004,350,-27177.500000000004,0.0,0.0,0.0,-27177.500000000004,0.0,0.0,0.0,
14275,NSEFO,85936,OPTIDX,BANKNIFTY,20221229,40800.00,PE,0,0.0,0,0,102,350,-34667.5,350,-34667.5,0.0,0.0,0.0,-34667.5,0.0,0.0,0.0,
14275,NSEFO,85940,OPTIDX,BANKNIFTY,20221229,41000.00,PE,0,0.0,0,0,103,-300,35970.0,-300,35970.0,259751.1,0.0,259751.1,35970.0,0.0,0.0,0.0,
14275,NSEFO,58421,OPTIDX,BANKNIFTY,20221229,42000.00,PE,0,0.0,0,0,104,-100,27545.0,-100,27545.0,86583.7,0.0,86583.7,27545.0,0.0,0.0,0.0,
14275,NSEFO,85958,OPTIDX,BANKNIFTY,20221229,44000.00,PE,0,0.0,0,0,105,-650,724555.0,-650,724555.0,562794.06,0.0,562794.06,724555.0,0.0,0.0,0.0,
14275,NSEFO,43572,OPTIDX,BANKNIFTY,20221208,40500.00,PE,0,0.0,0,0,106,-3100,61380.0,-3100,61380.0,1227.6,0.0,1227.6,61380.0,0.0,0.0,0.0,
14275,NSEFO,43596,OPTIDX,BANKNIFTY,20221208,41000.00,PE,0,0.0,0,0,107,3100,-93155.0,3100,-93155.0,0.0,0.0,0.0,-93155.0,0.0,0.0,0.0,
14275,NSEFO,43626,OPTIDX,BANKNIFTY,20221208,41500.00,PE,0,0.0,0,0,108,6500,-339950.0,6500,-339950.0,0.0,0.0,0.0,-339950.0,0.0,0.0,0.0,
14275,NSEFO,43696,OPTIDX,BANKNIFTY,20221208,42600.00,PE,0,0.0,0,0,109,500,-108625.0,500,-108625.0,0.0,0.0,0.0,-108625.0,0.0,0.0,0.0,
14275,NSEFO,43732,OPTIDX,BANKNIFTY,20221208,43000.00,PE,0,0.0,0,0,110,1475,-526280.0,1475,-526280.0,0.0,0.0,0.0,-526280.0,0.0,0.0,0.0,
14275,NSEFO,43756,OPTIDX,BANKNIFTY,20221208,43400.00,PE,0,0.0,0,0,111,500,-278575.0,500,-278575.0,0.0,0.0,0.0,-278575.0,0.0,0.0,0.0,
14275,NSEFO,43777,OPTIDX,BANKNIFTY,20221208,43800.00,PE,0,0.0,0,0,112,500,-407150.0,500,-407150.0,0.0,0.0,0.0,-407150.0,0.0,0.0,0.0,
14275,NSEFO,63880,FUTSTK,BATAINDIA,20221229, , ,0,0.0,0,0,113,-2750,4743612,-2750,4743612,166026.46,429390.5,595416.96,0.0,0.0,0.0,0.0,
14275,NSEFO,110731,OPTSTK,BATAINDIA,20221229,1800.00,CE,0,0.0,0,0,114,1650,-41910.0,1650,-41910.0,0.0,0.0,0.0,-41910.0,0.0,0.0,0.0,
14275,NSEFO,63881,FUTSTK,BEL,20221229, , ,0,0.0,0,0,115,-34200,3703860,-34200,3703860,129635.1,-122778.0,6857.1,0.0,0.0,0.0,0.0,
14275,NSEFO,111111,OPTSTK,BEL,20221229,110.00,CE,0,0.0,0,0,116,68400,-205200.0,68400,-205200.0,0.0,0.0,0.0,-205200.0,0.0,0.0,0.0,
14275,NSEFO,111102,OPTSTK,BEL,20221229,105.00,PE,0,0.0,0,0,117,-5700,12255.0,-5700,12255.0,21605.85,0.0,21605.85,12255.0,0.0,0.0,0.0,
14275,NSEFO,111112,OPTSTK,BEL,20221229,110.00,PE,0,0.0,0,0,118,5700,-26505.000000000004,5700,-26505.000000000004,0.0,0.0,0.0,-26505.000000000004,0.0,0.0,0.0,
14275,NSEFO,63882,FUTSTK,BERGEPAINT,20221229, , ,0,0.0,0,0,119,-3300,2052105,-3300,2052105,71823.68,291027.0,362850.68,0.0,0.0,0.0,0.0,
14275,NSEFO,63883,FUTSTK,BHARATFORG,20221229, , ,0,0.0,0,0,120,-2000,1710500,-2000,1710500,59867.5,318840.0,378707.5,0.0,0.0,0.0,0.0,
14275,NSEFO,111434,OPTSTK,BHARATFORG,20221229,800.00,PE,0,0.0,0,0,121,1000,-7600.0,1000,-7600.0,0.0,0.0,0.0,-7600.0,0.0,0.0,0.0,
14275,NSEFO,63887,FUTSTK,BHEL,20221229, , ,0,0.0,0,0,122,-294000,24328500,-294000,24328500,851497.5,-1517040.0,-665542.5,0.0,0.0,0.0,0.0,
14275,NSEFO,111989,OPTSTK,BHEL,20221229,80.00,CE,0,0.0,0,0,123,220500,-1223775.0,220500,-1223775.0,0.0,0.0,0.0,-1223775.0,0.0,0.0,0.0,
14275,NSEFO,111995,OPTSTK,BHEL,20221229,83.00,CE,0,0.0,0,0,124,84000,-340200.0,84000,-340200.0,0.0,0.0,0.0,-340200.0,0.0,0.0,0.0,
14275,NSEFO,35768,OPTSTK,BHEL,20221229,85.00,CE,0,0.0,0,0,125,189000,-595350.0,189000,-595350.0,0.0,0.0,0.0,-595350.0,0.0,0.0,0.0,
14275,NSEFO,43166,OPTSTK,BHEL,20221229,89.00,CE,0,0.0,0,0,126,10500,-19950.0,10500,-19950.0,0.0,0.0,0.0,-19950.0,0.0,0.0,0.0,
14275,NSEFO,111980,OPTSTK,BHEL,20221229,75.00,PE,0,0.0,0,0,127,42000,-46200.00000000001,42000,-46200.00000000001,0.0,0.0,0.0,-46200.00000000001,0.0,0.0,0.0,
14275,NSEFO,111990,OPTSTK,BHEL,20221229,80.00,PE,0,0.0,0,0,128,-21000,56700.00000000001,-21000,56700.00000000001,60821.25,0.0,60821.25,56700.00000000001,0.0,0.0,0.0,
14275,NSEFO,111994,OPTSTK,BHEL,20221229,82.00,PE,0,0.0,0,0,129,42000,-149100.0,42000,-149100.0,0.0,0.0,0.0,-149100.0,0.0,0.0,0.0,
14275,NSEFO,111996,OPTSTK,BHEL,20221229,83.00,PE,0,0.0,0,0,130,10500,-42525.0,10500,-42525.0,0.0,0.0,0.0,-42525.0,0.0,0.0,0.0,
14275,NSEFO,63888,FUTSTK,BIOCON,20221229, , ,0,0.0,0,0,131,-29900,8496085,-29900,8496085,297362.98,-287247.0,10115.98,0.0,0.0,0.0,0.0,
14275,NSEFO,112045,OPTSTK,BIOCON,20221229,280.00,CE,0,0.0,0,0,132,18400,-206080.0,18400,-206080.0,0.0,0.0,0.0,-206080.0,0.0,0.0,0.0,
14275,NSEFO,112047,OPTSTK,BIOCON,20221229,285.00,CE,0,0.0,0,0,133,29900,-260129.99999999997,29900,-260129.99999999997,0.0,0.0,0.0,-260129.99999999997,0.0,0.0,0.0,
