ClientCode,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
VRM004,0,-6446,-72930,0,0,0,-66483,
VRM148,1890735,9601446,11492181,0,0,0,0,
VRM152,0,-180,-360,0,0,0,-180,
VRM155,0,-33763,-101432,0,0,0,-67668,
VRM158,0,5418,10837,0,0,0,5418,
VRM164,0,7993,-3031,0,0,0,-11025,
YSM001,0,0,0,0,0,0,0,
ZH035,0,0,0,0,0,0,0,
ZH036,55225,376272,431497,0,0,0,0,
ZH043,55225,376272,431497,0,0,0,0,
ZH079,55225,376272,431497,0,0,0,0,
A1675,138361,420723,563928,0,0,0,4842,
AHM0102,0,891,1782,0,0,0,891,
AHM0142,0,311,622,0,0,0,311,
ARM045,0,-50750,-354300,0,0,0,-303550,
KH038,0,-800,-5800,0,0,0,-5000,
KH353,0,0,0,0,0,0,0,
KS055,0,2175,4350,0,0,0,2175,
MA037,74051,116222,192223,0,0,0,1950,
MMM12002,0,60,-435,0,0,0,-495,
MNTZS001,0,249,-12012,0,0,0,-12262,
PKR024,0,-3937,-23187,0,0,0,-19250,
PKR026,0,-3981,-23275,0,0,0,-19293,
SSY025,0,-4526,-102930,0,0,0,-98403,
SSY137,0,-7087,-102600,0,0,0,-95512,
V25007,0,1100,-11200,0,0,0,-12300,
VJ417,28677,159552,188229,0,0,0,0,
HJ033,0,636,1272,0,0,0,636,
MAS12027,22904,79522,110501,0,0,0,8074,
MAS19014,0,2517,2520,0,0,0,2,
MAS44001,0,-1655,-5825,0,0,0,-4170,
MM534,0,425,850,0,0,0,425,
ARM027,0,17132,34265,0,0,0,17132,
GHD100,0,680,1360,0,0,0,680,
RJ029006,0,-1310,-8211,0,0,0,-6901,
