UserID,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
40089A,TITAN,1158197,866490,2024687,0,0,0.0,0.0,
40102,BANKNIFTY,2750972,858348,3515780,0,0,0.0,-93541.25,
40103,SAIL,262552,1730700,1993252,0,0,0.0,0.0,
40103A,HINDCOPPER,189720,1433663,1623383,0,0,0.0,0.0,
40103A,JINDALSTEL,341775,2373187,2714962,0,0,0.0,0.0,
40103A,PNB,900480,2949600,3850080,0,0,0.0,0.0,
40103A,TATAPOWER,264718,1604475,1869193,0,0,0.0,0.0,
40130,AXISBANK,22184872,109963140,132148012,0,0,0.0,0.0,
40130,BIOCON,22713,114701,137414,0,0,0.0,0.0,
40130,ICICIBANK,10610652,44644875,55255527,0,0,0.0,0.0,
40130,INFY,858716,3562200,4420916,0,0,0.0,0.0,
40130,SBIN,14445490,63866205,78311695,0,0,0.0,0.0,
40130,WIPRO,338352,1456320,1794672,0,0,0.0,0.0,
40130AA,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AB,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AC,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AD,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AE,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AF,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AG,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AH,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AI,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AJ,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130AK,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130B,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130C,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130D,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130E,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130F,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130G,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130H,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130I,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130J,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130K,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130L,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130N,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130O,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130P,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130R,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130S,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130T,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130U,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130V,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130W,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130X,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130Y,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40130Z,BANKNIFTY,515807,1076510,1592317,0,0,0.0,0.0,
40134A,ADANIPORTS,153930,847200,1001130,0,0,0.0,0.0,
40134A,AMBUJACEM,106718,975455,1082174,0,0,0.0,0.0,
40134A,GMRINFRA,32051,192600,224651,0,0,0.0,0.0,
40134A,HINDUNILVR,11216797,16676946,27893743,0,0,0.0,0.0,
40134A,IBULHSGFIN,241762,906000,1147762,0,0,0.0,0.0,
40134A,MCDOWELL-N,58363,278681,337044,0,0,0.0,0.0,
40134A,NIFTY,7145921,5337118,12592314,0,0,0.0,109275.0,
40134A,RECLTD,30534,134640,165174,0,0,0.0,0.0,
40134A,TITAN,9197448,26938777,36136226,0,0,0.0,0.0,
40134AB,ACC,65815,298177,363992,0,0,0.0,0.0,
40134AB,ADANIPORTS,76965,423600,500565,0,0,0.0,0.0,
40134AB,AMBUJACEM,106718,975455,1082174,0,0,0.0,0.0,
40134AB,AUBANK,89285,535840,625125,0,0,0.0,0.0,
40134AB,BAJFINANCE,59040,317387,376428,0,0,0.0,0.0,
40134AB,BANKNIFTY,128951,775674,904625,0,0,0.0,0.0,
40134AB,BHARTIARTL,168946,684114,853060,0,0,0.0,0.0,
40134AB,DELTACORP,26655,132020,158675,0,0,0.0,0.0,
40134AB,HDFCBANK,31139,125999,157139,0,0,0.0,0.0,
40134AB,IDFCFIRSTB,30476,189750,220226,0,0,0.0,0.0,
40134AB,ITC,38113,155712,193825,0,0,0.0,0.0,
40134AB,L&TFH,27142,175267,202409,0,0,0.0,0.0,
40134AB,LTI,77778,446116,523894,0,0,0.0,0.0,
40134AB,MCDOWELL-N,38909,185787,224696,0,0,0.0,0.0,
40134AB,METROPOLIS,30371,193367,223739,0,0,0.0,0.0,
40134AB,MFSL,106020,553780,659801,0,0,0.0,0.0,
40134AB,MRF,62933,290962,353896,0,0,0.0,0.0,
40134AB,NAVINFLUOR,68537,377343,445880,0,0,0.0,0.0,
40134AB,NIFTY,833073,3916372,4749446,0,0,0.0,0.0,
40134AB,OBEROIRLTY,109576,669795,779371,0,0,0.0,0.0,
40134AB,PEL,23673,156106,179779,0,0,0.0,0.0,
40134AB,SBIN,127554,563940,691494,0,0,0.0,0.0,
40134AB,SRF,89723,491411,581135,0,0,0.0,0.0,
40134AB,TATAPOWER,211774,1283580,1495354,0,0,0.0,0.0,
40134AB,TCS,17795,72829,90625,0,0,0.0,0.0,
40134AB,TITAN,1430714,6423637,7854351,0,0,0.0,0.0,
40141,GLENMARK,1098277,5709888,6808165,0,0,0.0,0.0,
40155,ABCAPITAL,25571,149040,174611,0,0,0.0,0.0,
40155,CONCOR,26703,143460,170163,0,0,0.0,0.0,
40155,IDEA,118335,1142400,1260735,0,0,0.0,0.0,
40155,ONGC,56817,325710,382527,0,0,0.0,0.0,
