ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
A0020,NATIONALUM,134589,919020,1053609,0,0,0,0,
A0020,NIFTY,5091006,10360080,15591439,0,0,0,140352,
A0020,PNB,0,0,0,0,0,0,0,
A0020,RAIN,87489,641340,728829,0,0,0,0,
A0020,RECLTD,0,0,0,0,0,0,0,
A0020,RELIANCE,366464,1612680,1979144,0,0,0,0,
A0020,SAIL,262552,1730700,1993252,0,0,0,0,
A0020,SBIN,127554,284940,412494,0,0,0,0,
A0020,SRTRANSFIN,80649,484938,565587,0,0,0,0,
A0020,TATAMOTORS,1231533,7812078,9043611,0,0,0,0,
A0020,TATAPOWER,1879498,10945935,12825433,0,0,0,0,
A0020,TATASTEEL,31594,189210,220804,0,0,0,0,
A0020,TCS,1334674,5462212,6796887,0,0,0,0,
A0020,TITAN,204387,917662,1122050,0,0,0,0,
A0020,ULTRACEMCO,481180,2000260,2481440,0,0,0,0,
A0020,VOLTAS,29029,140370,169399,0,0,0,0,
A0034,L&TFH,81427,525802,607229,0,0,0,0,
A0034,NIFTY,0,3487,3487,0,0,0,0,
A0042,ABCAPITAL,25571,149040,174611,0,0,0,0,
A0042,ADANIPORTS,1962607,9035462,11018570,0,0,0,20500,
A0042,AMBUJACEM,35572,257237,292810,0,0,0,0,
A0042,APOLLOTYRE,179585,658175,895160,0,0,0,57400,
A0042,ASHOKLEY,78093,450300,528393,0,0,0,0,
A0042,ASIANPAINT,261084,877718,1138802,0,0,0,0,
A0042,AXISBANK,149142,287160,459282,0,0,0,22980,
A0042,BAJAJ-AUTO,63704,252350,316054,0,0,0,0,
A0042,BANKBARODA,171836,861061,1032897,0,0,0,0,
A0042,BANKNIFTY,6791464,15038541,21830005,0,0,0,0,
A0042,BEL,64129,269154,333283,0,0,0,0,
A0042,BHARATFORG,385407,1697870,2064527,0,0,0,-18750,
A0042,BHEL,361399,421995,847969,0,0,0,64575,
A0042,BPCL,20440,94878,115318,0,0,0,0,
A0042,CUMMINSIND,86892,246870,315762,0,0,0,-18000,
A0042,DRREDDY,57987,80663,138651,0,0,0,0,
A0042,EICHERMOT,209113,792760,1001874,0,0,0,0,
A0042,FEDERALBNK,92785,323350,416135,0,0,0,0,
A0042,GNFC,27627,212433,240060,0,0,0,0,
A0042,GUJGASLTD,86117,244825,330942,0,0,0,0,
A0042,HAL,623817,2652766,3276584,0,0,0,0,
A0042,HDFCBANK,560515,1793077,2353592,0,0,0,0,
A0042,HINDALCO,147672,640209,819382,0,0,0,31500,
A0042,ICICIBANK,89541,280926,370467,0,0,0,0,
A0042,IEX,276268,1342875,1619143,0,0,0,0,
A0042,INDHOTEL,453279,1118196,1571475,0,0,0,0,
A0042,INDUSINDBK,243058,822091,1065150,0,0,0,0,
A0042,INFY,389284,1154708,1565432,0,0,0,21440,
A0042,IRCTC,44204,213412,257616,0,0,0,0,
A0042,ITC,876612,2218752,3095364,0,0,0,0,
A0042,KOTAKBANK,53995,181824,235819,0,0,0,0,
A0042,M&M,556012,1788801,2344813,0,0,0,0,
A0042,MARUTI,852342,2760493,3612835,0,0,0,0,
A0042,NTPC,67730,143070,210800,0,0,0,0,
A0042,ONGC,37878,108955,146833,0,0,0,0,
A0042,PNB,120064,195840,315904,0,0,0,0,
A0042,RELIANCE,366464,1204400,1660814,0,0,0,89950,
A0042,SBIN,159442,378795,538237,0,0,0,0,
A0042,SUNPHARMA,354610,1116563,1471173,0,0,0,0,
A0042,TATACOMM,45365,172350,204915,0,0,0,-12800,
A0042,TATAMOTORS,2938395,14595021,17580299,0,0,0,46882,
A0042,TATAPOWER,2250104,10606308,12856412,0,0,0,0,
A0042,TATASTEEL,63189,133280,196469,0,0,0,0,
A0042,TCS,266934,860203,1174395,0,0,0,47257,
A0042,TITAN,306581,885307,1191889,0,0,0,0,
