ARIHANT ,,,,,,,,,
46:Exposure Margin Report ,,,,,,,,,
Trade Date:23/09/2022 Exposure:3.50 Report Date:23/09/2022 ,,,,,,,,,
CLIENT_ID,Scrip,Net Qty,Cl.Price,Cl.Amt,Exposure Mrg,Span Mrg,Total Margin,% Margin,
14275,EO PE AMBUJACEM 29Sep22 520.0000,-3600,540.45,1945620,204290.1,0,204290.1,10.5,
14275,EO PE AMBUJACEM 29Sep22 540.0000,-16200,540.45,8755290,919305.45,0,919305.45,10.5,
14275,EO CE APOLLOHOSP 29Sep22 4600.0000,-1000,4425.2,4425200,154882,0,154882,3.5,
14275,EO CE APOLLOHOSP 29Sep22 4700.0000,-250,4425.2,1106300,38720.5,0,38720.5,3.5,
14275,EO CE APOLLOHOSP 29Sep22 4900.0000,3500,4425.2,15488200,0,0,0,0,
14275,EO CE APOLLOHOSP 29Sep22 5100.0000,125,4425.2,553150,0,0,0,0,
14275,EO PE APOLLOHOSP 29Sep22 4000.0000,375,4425.2,1659450,0,91111.25,91111.25,5.49,
14275,EO PE APOLLOHOSP 29Sep22 4200.0000,-375,4425.2,1659450,58080.75,0,58080.75,3.5,
14275,EO PE APOLLOTYRE 29Sep22 220.0000,-3500,285.1,997850,34924.75,294280,329204.75,32.99,
14275,EO PE APOLLOTYRE 29Sep22 260.0000,-7000,285.1,1995700,69849.5,0,69849.5,3.5,
14275,EF ASHOKLEY 29Sep22,-65000,159.2,10348000,362180,108800,470980,4.55,
14275,EO CE ASHOKLEY 29Sep22 167.5000,5000,159.2,796000,0,0,0,0,
14275,EO CE ASHOKLEY 29Sep22 170.0000,155000,159.2,24676000,0,0,0,0,
14275,EO CE ASHOKLEY 29Sep22 172.5000,5000,159.2,796000,0,0,0,0,
14275,EO PE ASHOKLEY 29Sep22 160.0000,-65000,159.2,10348000,362180,0,362180,3.5,
14275,EF ASIANPAINT 27Oct22,-200,3418.85,683770,23931.95,0,23931.95,3.5,
14275,EF ASIANPAINT 29Sep22,-200,3403.85,680770,23826.95,80066,103892.95,15.26,
14275,EO CE ASIANPAINT 29Sep22 3600.0000,400,3403.85,1361540,0,0,0,0,
14275,EO PE ASIANPAINT 29Sep22 3400.0000,-200,3403.85,680770,23826.95,0,23826.95,3.5,
14275,EF ASTRAL 29Sep22,-6050,2314.8,14004540,490158.9,559735,1049893.9,7.5,
14275,EO CE ASTRAL 29Sep22 2200.0000,550,2314.8,1273140,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2500.0000,4400,2314.8,10185120,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2540.0000,2750,2314.8,6365700,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2560.0000,1375,2314.8,3182850,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2580.0000,2750,2314.8,6365700,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2600.0000,10725,2314.8,24826230,0,0,0,0,
14275,EO CE ASTRAL 29Sep22 2660.0000,275,2314.8,636570,0,0,0,0,
14275,EO PE ASTRAL 29Sep22 2200.0000,1650,2314.8,3819420,0,0,0,0,
14275,EO PE ASTRAL 29Sep22 2360.0000,-1375,2314.8,3182850,111399.75,0,111399.75,3.5,
14275,EO PE ASTRAL 29Sep22 2400.0000,-3575,2314.8,8275410,289639.35,0,289639.35,3.5,
14275,EF ATUL 29Sep22,-75,9254.35,694076,24292.66,834336.75,858629.41,123.71,
14275,EO CE ATUL 29Sep22 10000.0000,525,9254.35,4858534,0,0,0,0,
14275,EO CE ATUL 29Sep22 9500.0000,-900,9254.35,8328915,291512.03,0,291512.03,3.5,
14275,EO PE ATUL 29Sep22 9500.0000,-75,9254.35,694076,24292.66,0,24292.66,3.5,
14275,EF AUBANK 27Oct22,-4000,640.75,2563000,89705,542000,631705,24.65,
14275,EF AUROPHARMA 29Sep22,-3000,516.85,1550550,54269.25,462360,516629.25,33.32,
14275,EF AXISBANK 27Oct22,-636000,774.15,492359400,17232579,0,17232579,3.5,
14275,EF AXISBANK 29Sep22,-51600,770.3,39747480,1391161.8,110794344,112185505.8,282.25,
14275,EO CE AXISBANK 29Sep22 770.0000,-2400,770.3,1848720,64705.2,0,64705.2,3.5,
14275,EO CE AXISBANK 29Sep22 780.0000,-1200,770.3,924360,32352.6,0,32352.6,3.5,
14275,EO CE AXISBANK 29Sep22 790.0000,3600,770.3,2773080,0,0,0,0,
14275,EO CE AXISBANK 29Sep22 820.0000,6000,770.3,4621800,0,0,0,0,
14275,EO CE AXISBANK 29Sep22 830.0000,8400,770.3,6470520,0,0,0,0,
14275,EO PE AXISBANK 29Sep22 760.0000,-1200,770.3,924360,32352.6,0,32352.6,3.5,
14275,EO CE BAJAJ-AUTO 29Sep22 3900.0000,-750,3687.8,2765850,96804.75,16220,113024.75,4.09,
14275,EO CE BAJAJ-AUTO 29Sep22 4000.0000,1750,3687.8,6453650,0,0,0,0,
14275,EF BAJAJFINSV 29Sep22,-1000,1717.65,1717650,60117.75,161210,221327.75,12.89,
14275,EO CE BAJAJFINSV 29Sep22 1825.0000,-1000,1717.65,1717650,60117.75,0,60117.75,3.5,
14275,EO CE BAJAJFINSV 29Sep22 1850.0000,3500,1717.65,6011775,0,0,0,0,
14275,EO CE BAJAJFINSV 29Sep22 1900.0000,2500,1717.65,4294125,0,0,0,0,
14275,EO PE BAJAJFINSV 29Sep22 1675.0000,-1000,1717.65,1717650,60117.75,0,60117.75,3.5,
14275,EO PE BAJAJFINSV 29Sep22 1725.0000,-500,1717.65,858825,30058.88,0,30058.88,3.5,
14275,EF BAJFINANCE 27Oct22,-6500,7538.7,49001550,1715054.25,0,1715054.25,3.5,
14275,EF BAJFINANCE 29Sep22,-625,7502.55,4689094,164118.29,9680050.63,9844168.92,209.94,
14275,EO CE BAJFINANCE 29Sep22 7100.0000,625,7502.55,4689094,0,0,0,0,
